बुध	ुधव	धवा	वार	ार_	
को_	ो__	___	___	___	
लां	ांच	ंच_	च__	___	
हुए	ुए_	ए__	___	___	
इस_	स__	___	___	___	
फीच	ीचर	चर_	र__	___	
का_	ा__	___	___	___	
नाम	ाम_	म__	___	___	
सिक	िक्	क्य	्यो	योर	
चैक	ैकअ	कअप	अप_	प__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

फेस	ेसब	सबु	बुक	ुक_	
का_	ा__	___	___	___	
सिक	िक्	क्य	्यो	योर	
चैक	ैकअ	कअप	अप_	प__	
फीच	ीचर	चर_	र__	___	
पॉप	ॉपअ	पअप	अप_	प__	
की_	ी__	___	___	___	
तरह	रह_	ह__	___	___	
यूज	ूजर	जर्	र्स	्स_	
को_	ो__	___	___	___	
दिख	िखा	खाइ	ाइ_	इ__	
देग	ेगा	गा_	ा__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इस_	स__	___	___	___	
पॉप	ॉपअ	पअप	अप_	प__	
बॉक	ॉक्	क्स	्स_	स__	
में	ें_	ं__	___	___	
पास	ासव	सवर	वर्	र्ड	
चें	ेंज	ंज_	ज__	___	
करन	रने	ने_	े__	___	
,__	___	___	___	___	
लॉग	ॉगइ	गइन	इन_	न__	
अलर	लर्	र्ट	्ट्	ट्स	
चाल	ालू	लू_	ू__	___	
करन	रने	ने_	े__	___	
और_	र__	___	___	___	
मौज	ौजू	जूद	ूदा	दा_	
फेस	ेसब	सबु	बुक	ुक_	
सेश	ेशन	शन_	न__	___	
को_	ो__	___	___	___	
पूर	ूरी	री_	ी__	___	
तरह	रह_	ह__	___	___	
से_	े__	___	___	___	
बंद	ंद_	द__	___	___	
करन	रने	ने_	े__	___	
के_	े__	___	___	___	
ऑप्	प्श	्शन	शन_	न__	
मिल	िले	लें	ेंग	ंगे	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

आप_	प__	___	___	___	
यही	हीं	ीं_	ं__	___	
से_	े__	___	___	___	
पुर	ुरा	रान	ाने	ने_	
लॉग	ॉगइ	गइन	इन_	न__	
सेश	ेशं	शंस	ंस_	स__	
को_	ो__	___	___	___	
हमे	मेश	ेशा	शा_	ा__	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
हटा	टा_	ा__	___	___	
भी_	ी__	___	___	___	
सकत	कते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

ऐसे	से_	े__	___	___	
में	ें_	ं__	___	___	
कई_	ई__	___	___	___	
बार	ार_	र__	___	___	
