Id	Polarity	Review
1	pos	सूचना प्रौद्योगिकी कंपनी एसर ने दुनिया का सबसे पतला लैपटॉप पेश किया है।
2	pos	यह अत्यंत पतला और हल्का है। यह दूसरे लैपटॉप कारोबारियों के लिए मानक तय करता है। 
3	neu	इस लैपटॉप का स्क्रीन 34 सेमी है और वजन 1.35 किलोग्राम (तीन पाउंड) से भी कम है। 
4	pos	नए लैपटॉप में पॉवरफुल प्रोसेसर, ग्राफिक सपोर्ट और सुपीरियर क्‍वालिटी का ऑडियो सपोर्ट दिया गया है। 
5	neu	विंडो 8.1 ओएस पर रन करने वाले नए आईडिया पैड सीरीज लैपटॉप का भार 2.2 किलो है।
6	pos	इसकी ऑडियो क्‍वालिटी शानदार है इसके लिए लैपटॉप में जेबीएल स्‍पीकर और डॉल्‍बी होम थियेटर के अलावा मल्‍टीपल स्‍टोरेज ऑप्‍शन दिया गया है।
7	pos	इंटल के चौथी पीढ़ी प्रोसेसर पर रन करने वाले लिनोवो आईडिया पैड Z510 में लेटेस्‍ट ग्राफिक कार्ड दिया गया है। 
8	neu	इसमें लगी बैटरी एक बार फुल चार्ज होने पर 6 घंटे का बैटरी बैकप देती है। 
9	neu	लैपटॉप में एंटी ग्‍लेयर एचडी लिड स्‍क्रीन दी गई है। 
10	neu	लैपटॉप में फास्‍ट टाइपिंग के लिए एक्‍यूटाइप कीबोर्ड दिया गया है। 
11	neu	देखने में इसकी डिज़ाइन ऐवरेज है। भारतीय बाजार में लिनोवो जेड 510 को 52,954 रुपए में उतारा गया है।
12	pos	लिनोवो आईडिया पैड Z510 में 15.6 इंच की लिड डिस्‍प्‍ले दिया गया है, साथ में एंटी ग्‍लेयर स्‍क्रीन की मदद से यूजर को ज्‍यादा साफ व्‍यू मिलता है।
13	pos	एक ऐसा फ़ोन जिसमें है एक शानदार की पैड और ज़बरदस्त स्क्रीन।
14	pos	ये फ़ोन एलटीई रेडी है और इसे ख़ूबसूरती से डिज़ाइन किया गया है।
15	pos	कंपनी का दावा है कि इस नए फ़ोन का ब्राउज़र 3 गुना ज़्यादा फ़ास्ट है। 
16	pos	बोल्ड 9900 के मुक़ाबले इसमें 60 % ज़्यादा स्क्रीन स्पेस है और 50 % ज़्यादा बैटरी लाइफ़ है।
17	neu	लुक के मामलें में साफ तौर पर कहा जाए तो इसके और इसके पिछले अवतार 3जी में कोई फर्क नहीं है। डिजाइन औसत ही है। 
18	neg	3जी प्लास्टिक का बना हुआ था जो हाथ से फिसलता था। इसकी एक वजह यह थी कि इसके किनारे गोल थे। वैसे हमने श्याओमी से इससे बेहतर करने की उम्मीद की थी। अगर इसका सिर्फ डिजाइन देखा जाए तो यह ऐसा फोन नहीं है जिसके लिए लोगों की लाइन लग जाएगी। 
19	neg	फोन का 4जी वर्जन क्वॉलकोम स्नैप ड्रैगन 400  प्रोसेसर के साथ पेश किया गया है। हालांकि यह थोड़ा स्लो चलता लग रहा है। 
20	neu	इसमें 2 जीबी का रैम यूज किया गया है और 8जीबी का इंटरनल स्टोरेज स्पेस दिया गया है। 
21	neu	इसकी बैटरी लाइफ की बात करें तो यह 11 घंटे 9 मिनट तक चली। एंड्रॉयड 4.4 का ऑपरेटिंग सिस्टम दिया गया है। यह जावा को सपोर्ट करता है और इसमें भी ब्राउजर को सपोर्ट करने वाला फ्लैश है। इसमें जीपीएस और एफएम रेडियो फीचर्स तो हैं ही। 
22	pos	इसकी 5.5 इंच वाली 720पी की स्क्रीन आपको भाएगी। 
23	neu	वैसे बता दें कि आप इसे उठाते समय इसका वजन तो महसूस करेंगे ही और इसलिए एक ही हाथ से इसे पकड़ने के लिए शुरू में थोड़ा ध्यान देने की जरूरत होगी।
24	pos	इसमें 13 मेगापिक्सल का कैमरा है। इस कीमत में इतने बढ़िया कैमरे की उम्मीद नहीं की जा सकती थी । इससे ली गई पिक्चर्स काफी अच्छी होती हैं। कम रोशनी में भी इसका कैमरा अच्छी एचडीआर इमेज लेता है। इसका 5 मेगापिक्सल का फ्रंट कैमरा भी काफी अच्छा है। इससे अच्छी सेल्फी ली जा सकती है।
25	pos	रेडमी नोट 4जी हमें पसंद आया। हमें इसका प्रोसेसर ज्यादा पसंद आया। प्राइस टैग तो जबरदस्त है ही। 
26	neu	वैसे इस साल 4जी लॉन्चेस होने हैं और अगर आप लॉन्ग टर्म को ध्यान में रखकर फोन लेना चाहें तो ले सकते हैं। 
27	pos	फोन में बढ़िया डिस्प्ले है। बेहतरीन कैमरा है। इसका एंड्रॉयड फंक्शन भी अच्छा है तो इस फोन को हम 'मस्ट-बाय' का टैग देंगे। 
28	neg	हां, इसमें ड्यूल सिम फंक्शनैलिटी न होना, कइयों को निराश कर सकता है।
29	neu	यूरेका के साइज, लुक और इसकी खूबियों की बात करें तो ये काफी हद तक श्याओमी से मिलती जुलती हैं।
30	pos	वैसे यू यूरेका न तो कुछ ज्यादा ही स्लिम है और न ही वजन के मामले में काफी हल्का है। लेकिन हां, इसकी संरचनात्मक खूबसूरती आपको माइक्रोमैक्स के अन्य फोन्स के मुकाबले भाएगी। 
31	neu	सामने से स्मूथ है, कोई मार्किंग वगैरह नहीं मिलेगी सिवाए होम बटन के करीब। इसके चारों ओर के किनारे को थोड़ा उठा हुआ बनाया गया है ताकि किसी भी तरह की स्क्रैच से बचा जा सके। 
~32	neu	साइज में दिए गए पावर और वॉल्यूम बटन्स आराम से ऑपरेट हो जाते हैं।
33	pos	इसका स्क्रीन रेजॉल्यूशन हमें पसंद आया- 720x1280 पिक्सल। 5.5 इंच लंबी स्क्रीन थोड़ी खुरदरी सी लगती है लेकिन फिर इस प्राइस स्लॉट में स्क्रीन के और ज्यादा बुरा होने की भी संभावना से इंकार नहीं किया जा सकता था।

34	neg	बैटन नामक एक ऐप भी इसमें दिया गया है जिसके बारे में दावा किया गया है कि यह आपकी चुनी हुई ऐप्स को 'क्लाउडीफाई' कर देगी। हालांकि जब हमने इसका इस्तेमाल किया तो यह बिल्कुल काम नहीं किया।
35	pos	हम जानना चाहते थे कि क्वालकॉम का नया सीपीयू कैसे काम करता है। जब हमने इस बाबत चेक किया तो रिजल्ट्स काफी पॉजिटिव मिले। 
36	pos	यूरेका श्याओमी के रेडमी नोट को कई मामलों में एकदम टक्कर देता है। दिन प्रतिदिन के इस्तेमाल में यह फोन एकदम बढ़िया है। 
36	pos	यह बेहद परिष्कृत फोन है और ईमानदारी की बात तो यह है माइक्रोमैक्स के पिछले साल डेढ़ साल में आए बाकी फोन्स के मुकाबले इसे हाथ में लेना, यूज करना काफी बेहतर अनुभव है। 
37	pos	एक खास बात यह कि सूरज की रोशनी में भी आप इसे 'पढ़' सकते हैं।
