प्रतिस्पर्धियों	0	15	प	प्	प्र	ं	ों	यों	0	प	्	र	त	ि	प्	्र	रत	ति	िस	प्र	्रत	रति	तिस	िस्	प्रत	्रति	रतिस	तिस्	िस्प	प्रति	्रतिस	रतिस्	तिस्प	िस्पर	NULL	NULL	पर	भारी	0
पर	1	2	प	पर	NULL	र	पर	NULL	0	प	र	_	_	_	पर	र_	__	__	__	पर_	र__	___	___	___	पर__	र___	____	____	____	पर___	र____	_____	_____	_____	NULL	प्रतिस्पर्धियों	भारी	पड़ने	0
भारी	0	4	भ	भा	भार	ी	री	ारी	0	भ	ा	र	ी	_	भा	ार	री	ी_	__	भार	ारी	री_	ी__	___	भारी	ारी_	री__	ी___	____	भारी_	ारी__	री___	ी____	_____	प्रतिस्पर्धियों	पर	पड़ने	के	0
पड़ने	0	5	प	पड	पड़	े	ने	़ने	0	प	ड	़	न	े	पड	ड़	़न	ने	े_	पड़	ड़न	़ने	ने_	े__	पड़न	ड़ने	़ने_	ने__	े___	पड़ने	ड़ने_	़ने__	ने___	े____	पर	भारी	के	लिए	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	भारी	पड़ने	लिए	वॉयस	0
लिए	1	3	ल	लि	लिए	ए	िए	लिए	0	ल	ि	ए	_	_	लि	िए	ए_	__	__	लिए	िए_	ए__	___	___	लिए_	िए__	ए___	____	____	लिए__	िए___	ए____	_____	_____	पड़ने	के	वॉयस	और	0
वॉयस	0	4	व	वॉ	वॉय	स	यस	ॉयस	0	व	ॉ	य	स	_	वॉ	ॉय	यस	स_	__	वॉय	ॉयस	यस_	स__	___	वॉयस	ॉयस_	यस__	स___	____	वॉयस_	ॉयस__	यस___	स____	_____	के	लिए	और	वीडियो	B_ASP
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	लिए	वॉयस	वीडियो	कॉल्स	I_ASP
वीडियो	0	6	व	वी	वीड	ो	यो	ियो	1	व	ी	ड	ि	य	वी	ीड	डि	िय	यो	वीड	ीडि	डिय	ियो	यो_	वीडि	ीडिय	डियो	ियो_	यो__	वीडिय	ीडियो	डियो_	ियो__	यो___	वॉयस	और	कॉल्स	की	I_ASP
कॉल्स	0	5	क	कॉ	कॉल	स	्स	ल्स	0	क	ॉ	ल	्	स	कॉ	ॉल	ल्	्स	स_	कॉल	ॉल्	ल्स	्स_	स__	कॉल्	ॉल्स	ल्स_	्स__	स___	कॉल्स	ॉल्स_	ल्स__	्स___	स____	और	वीडियो	की	जरूरत	I_ASP
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	वीडियो	कॉल्स	जरूरत	है	0
जरूरत	0	5	ज	जर	जरू	त	रत	ूरत	0	ज	र	ू	र	त	जर	रू	ूर	रत	त_	जरू	रूर	ूरत	रत_	त__	जरूर	रूरत	ूरत_	रत__	त___	जरूरत	रूरत_	ूरत__	रत___	त____	कॉल्स	की	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	की	जरूरत	NULL	NULL	0
EOL
फिलहाल	0	6	फ	फि	फिल	ल	ाल	हाल	0	फ	ि	ल	ह	ा	फि	िल	लह	हा	ाल	फिल	िलह	लहा	हाल	ाल_	फिलह	िलहा	लहाल	हाल_	ाल__	फिलहा	िलहाल	लहाल_	हाल__	ाल___	NULL	NULL	इसमें	कोर्इ	0
इसमें	1	5	इ	इस	इसम	ं	ें	में	0	इ	स	म	े	ं	इस	सम	मे	ें	ं_	इसम	समे	में	ें_	ं__	इसमे	समें	में_	ें__	ं___	इसमें	समें_	में__	ें___	ं____	NULL	फिलहाल	कोर्इ	वीडियो	0
कोर्इ	0	5	क	को	कोर	इ	्इ	र्इ	0	क	ो	र	्	इ	को	ोर	र्	्इ	इ_	कोर	ोर्	र्इ	्इ_	इ__	कोर्	ोर्इ	र्इ_	्इ__	इ___	कोर्इ	ोर्इ_	र्इ__	्इ___	इ____	फिलहाल	इसमें	वीडियो	या	0
वीडियो	0	6	व	वी	वीड	ो	यो	ियो	1	व	ी	ड	ि	य	वी	ीड	डि	िय	यो	वीड	ीडि	डिय	ियो	यो_	वीडि	ीडिय	डियो	ियो_	यो__	वीडिय	ीडियो	डियो_	ियो__	यो___	इसमें	कोर्इ	या	वॉयस	B_ASP
या	1	2	य	या	NULL	ा	या	NULL	0	य	ा	_	_	_	या	ा_	__	__	__	या_	ा__	___	___	___	या__	ा___	____	____	____	या___	ा____	_____	_____	_____	कोर्इ	वीडियो	वॉयस	कॉल	I_ASP
वॉयस	0	4	व	वॉ	वॉय	स	यस	ॉयस	0	व	ॉ	य	स	_	वॉ	ॉय	यस	स_	__	वॉय	ॉयस	यस_	स__	___	वॉयस	ॉयस_	यस__	स___	____	वॉयस_	ॉयस__	यस___	स____	_____	वीडियो	या	कॉल	सपोर्ट	I_ASP
कॉल	0	3	क	कॉ	कॉल	ल	ॉल	कॉल	0	क	ॉ	ल	_	_	कॉ	ॉल	ल_	__	__	कॉल	ॉल_	ल__	___	___	कॉल_	ॉल__	ल___	____	____	कॉल__	ॉल___	ल____	_____	_____	या	वॉयस	सपोर्ट	नहीं	I_ASP
सपोर्ट	0	6	स	सप	सपो	ट	्ट	र्ट	0	स	प	ो	र	्	सप	पो	ोर	र्	्ट	सपो	पोर	ोर्	र्ट	्ट_	सपोर	पोर्	ोर्ट	र्ट_	्ट__	सपोर्	पोर्ट	ोर्ट_	र्ट__	्ट___	वॉयस	कॉल	नहीं	है	0
नहीं	1	4	न	नह	नही	ं	ीं	हीं	0	न	ह	ी	ं	_	नह	ही	ीं	ं_	__	नही	हीं	ीं_	ं__	___	नहीं	हीं_	ीं__	ं___	____	नहीं_	हीं__	ीं___	ं____	_____	कॉल	सपोर्ट	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	सपोर्ट	नहीं	NULL	NULL	0
EOL
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	NULL	NULL	इसका	सबसे	0
इसका	1	4	इ	इस	इसक	ा	का	सका	0	इ	स	क	ा	_	इस	सक	का	ा_	__	इसक	सका	का_	ा__	___	इसका	सका_	का__	ा___	____	इसका_	सका__	का___	ा____	_____	NULL	और	सबसे	अच्छा	0
सबसे	1	4	स	सब	सबस	े	से	बसे	0	स	ब	स	े	_	सब	बस	से	े_	__	सबस	बसे	से_	े__	___	सबसे	बसे_	से__	े___	____	सबसे_	बसे__	से___	े____	_____	और	इसका	अच्छा	भाग	0
अच्छा	0	5	अ	अच	अच्	ा	छा	्छा	0	अ	च	्	छ	ा	अच	च्	्छ	छा	ा_	अच्	च्छ	्छा	छा_	ा__	अच्छ	च्छा	्छा_	छा__	ा___	अच्छा	च्छा_	्छा__	छा___	ा____	इसका	सबसे	भाग	यह	0
भाग	0	3	भ	भा	भाग	ग	ाग	भाग	0	भ	ा	ग	_	_	भा	ाग	ग_	__	__	भाग	ाग_	ग__	___	___	भाग_	ाग__	ग___	____	____	भाग__	ाग___	ग____	_____	_____	सबसे	अच्छा	यह	है	0
यह	1	2	य	यह	NULL	ह	यह	NULL	0	य	ह	_	_	_	यह	ह_	__	__	__	यह_	ह__	___	___	___	यह__	ह___	____	____	____	यह___	ह____	_____	_____	_____	अच्छा	भाग	है	कि	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	भाग	यह	कि	मूवीज	0
कि	1	2	क	कि	NULL	ि	कि	NULL	0	क	ि	_	_	_	कि	ि_	__	__	__	कि_	ि__	___	___	___	कि__	ि___	____	____	____	कि___	ि____	_____	_____	_____	यह	है	मूवीज	की	0
मूवीज	0	5	म	मू	मूव	ज	ीज	वीज	0	म	ू	व	ी	ज	मू	ूव	वी	ीज	ज_	मूव	ूवी	वीज	ीज_	ज__	मूवी	ूवीज	वीज_	ीज__	ज___	मूवीज	ूवीज_	वीज__	ीज___	ज____	है	कि	की	पूरी	B_ASP
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	कि	मूवीज	पूरी	लाइब्रेरी	I_ASP
पूरी	0	4	प	पू	पूर	ी	री	ूरी	0	प	ू	र	ी	_	पू	ूर	री	ी_	__	पूर	ूरी	री_	ी__	___	पूरी	ूरी_	री__	ी___	____	पूरी_	ूरी__	री___	ी____	_____	मूवीज	की	लाइब्रेरी	को	I_ASP
लाइब्रेरी	0	9	ल	ला	लाइ	ी	री	ेरी	0	ल	ा	इ	ब	्	ला	ाइ	इब	ब्	्र	लाइ	ाइब	इब्	ब्र	्रे	लाइब	ाइब्	इब्र	ब्रे	्रेर	लाइब्	ाइब्र	इब्रे	ब्रेर	्रेरी	की	पूरी	को	बिना	I_ASP
को	1	2	क	को	NULL	ो	को	NULL	0	क	ो	_	_	_	को	ो_	__	__	__	को_	ो__	___	___	___	को__	ो___	____	____	____	को___	ो____	_____	_____	_____	पूरी	लाइब्रेरी	बिना	किसी	0
बिना	0	4	ब	बि	बिन	ा	ना	िना	0	ब	ि	न	ा	_	बि	िन	ना	ा_	__	बिन	िना	ना_	ा__	___	बिना	िना_	ना__	ा___	____	बिना_	िना__	ना___	ा____	_____	लाइब्रेरी	को	किसी	अतिरिक्त	0
किसी	1	4	क	कि	किस	ी	सी	िसी	0	क	ि	स	ी	_	कि	िस	सी	ी_	__	किस	िसी	सी_	ी__	___	किसी	िसी_	सी__	ी___	____	किसी_	िसी__	सी___	ी____	_____	को	बिना	अतिरिक्त	चार्ज	0
अतिरिक्त	0	8	अ	अत	अति	त	्त	क्त	0	अ	त	ि	र	ि	अत	ति	िर	रि	िक	अति	तिर	िरि	रिक	िक्	अतिर	तिरि	िरिक	रिक्	िक्त	अतिरि	तिरिक	िरिक्	रिक्त	िक्त_	बिना	किसी	चार्ज	के	0
चार्ज	0	5	च	चा	चार	ज	्ज	र्ज	0	च	ा	र	्	ज	चा	ार	र्	्ज	ज_	चार	ार्	र्ज	्ज_	ज__	चार्	ार्ज	र्ज_	्ज__	ज___	चार्ज	ार्ज_	र्ज__	्ज___	ज____	किसी	अतिरिक्त	के	स्ट्रीम	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	अतिरिक्त	चार्ज	स्ट्रीम	किया	0
स्ट्रीम	0	7	स	स्	स्ट	म	ीम	रीम	0	स	्	ट	्	र	स्	्ट	ट्	्र	री	स्ट	्ट्	ट्र	्री	रीम	स्ट्	्ट्र	ट्री	्रीम	रीम_	स्ट्र	्ट्री	ट्रीम	्रीम_	रीम__	चार्ज	के	किया	जा	0
किया	1	4	क	कि	किय	ा	या	िया	0	क	ि	य	ा	_	कि	िय	या	ा_	__	किय	िया	या_	ा__	___	किया	िया_	या__	ा___	____	किया_	िया__	या___	ा____	_____	के	स्ट्रीम	जा	सकता	0
जा	1	2	ज	जा	NULL	ा	जा	NULL	0	ज	ा	_	_	_	जा	ा_	__	__	__	जा_	ा__	___	___	___	जा__	ा___	____	____	____	जा___	ा____	_____	_____	_____	स्ट्रीम	किया	सकता	है	0
सकता	1	4	स	सक	सकत	ा	ता	कता	0	स	क	त	ा	_	सक	कत	ता	ा_	__	सकत	कता	ता_	ा__	___	सकता	कता_	ता__	ा___	____	सकता_	कता__	ता___	ा____	_____	किया	जा	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	जा	सकता	NULL	NULL	0
EOL
गेम	0	3	ग	गे	गेम	म	ेम	गेम	0	ग	े	म	_	_	गे	ेम	म_	__	__	गेम	ेम_	म__	___	___	गेम_	ेम__	म___	____	____	गेम__	ेम___	म____	_____	_____	NULL	NULL	आधारित	प्रमोशनल	B_ASP
