फेसबुक	0	6	फ	फे	फेस	क	ुक	बुक	0	फ	े	स	ब	ु	फे	ेस	सब	बु	ुक	फेस	ेसब	सबु	बुक	ुक_	फेसब	ेसबु	सबुक	बुक_	ुक__	फेसबु	ेसबुक	सबुक_	बुक__	ुक___	NULL	NULL	का	सिक्योरिटी	0
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	NULL	फेसबुक	सिक्योरिटी	चैकअप	0
सिक्योरिटी	0	10	स	सि	सिक	ी	टी	िटी	0	स	ि	क	्	य	सि	िक	क्	्य	यो	सिक	िक्	क्य	्यो	योर	सिक्	िक्य	क्यो	्योर	योरि	सिक्य	िक्यो	क्योर	्योरि	योरिट	फेसबुक	का	चैकअप	फीचर	0
चैकअप	0	5	च	चै	चैक	प	अप	कअप	0	च	ै	क	अ	प	चै	ैक	कअ	अप	प_	चैक	ैकअ	कअप	अप_	प__	चैकअ	ैकअप	कअप_	अप__	प___	चैकअप	ैकअप_	कअप__	अप___	प____	का	सिक्योरिटी	फीचर	पॉपअप	0
फीचर	0	4	फ	फी	फीच	र	चर	ीचर	1	फ	ी	च	र	_	फी	ीच	चर	र_	__	फीच	ीचर	चर_	र__	___	फीचर	ीचर_	चर__	र___	____	फीचर_	ीचर__	चर___	र____	_____	सिक्योरिटी	चैकअप	पॉपअप	की	0
पॉपअप	0	5	प	पॉ	पॉप	प	अप	पअप	0	प	ॉ	प	अ	प	पॉ	ॉप	पअ	अप	प_	पॉप	ॉपअ	पअप	अप_	प__	पॉपअ	ॉपअप	पअप_	अप__	प___	पॉपअप	ॉपअप_	पअप__	अप___	प____	चैकअप	फीचर	की	तरह	B_ASP
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	फीचर	पॉपअप	तरह	यूजर्स	I_ASP
तरह	1	3	त	तर	तरह	ह	रह	तरह	0	त	र	ह	_	_	तर	रह	ह_	__	__	तरह	रह_	ह__	___	___	तरह_	रह__	ह___	____	____	तरह__	रह___	ह____	_____	_____	पॉपअप	की	यूजर्स	को	I_ASP
यूजर्स	0	6	य	यू	यूज	स	्स	र्स	0	य	ू	ज	र	्	यू	ूज	जर	र्	्स	यूज	ूजर	जर्	र्स	्स_	यूजर	ूजर्	जर्स	र्स_	्स__	यूजर्	ूजर्स	जर्स_	र्स__	्स___	की	तरह	को	दिखाइ	0
को	1	2	क	को	NULL	ो	को	NULL	0	क	ो	_	_	_	को	ो_	__	__	__	को_	ो__	___	___	___	को__	ो___	____	____	____	को___	ो____	_____	_____	_____	तरह	यूजर्स	दिखाइ	देगा	0
दिखाइ	0	5	द	दि	दिख	इ	ाइ	खाइ	0	द	ि	ख	ा	इ	दि	िख	खा	ाइ	इ_	दिख	िखा	खाइ	ाइ_	इ__	दिखा	िखाइ	खाइ_	ाइ__	इ___	दिखाइ	िखाइ_	खाइ__	ाइ___	इ____	यूजर्स	को	देगा	NULL	0
देगा	0	4	द	दे	देग	ा	गा	ेगा	0	द	े	ग	ा	_	दे	ेग	गा	ा_	__	देग	ेगा	गा_	ा__	___	देगा	ेगा_	गा__	ा___	____	देगा_	ेगा__	गा___	ा____	_____	को	दिखाइ	NULL	NULL	0
EOL
ऑटो	0	3	ऑ	ऑट	ऑटो	ो	टो	ऑटो	1	ऑ	ट	ो	_	_	ऑट	टो	ो_	__	__	ऑटो	टो_	ो__	___	___	ऑटो_	टो__	ो___	____	____	ऑटो__	टो___	ो____	_____	_____	NULL	NULL	करे​क्टिंग	के	0
करे​क्टिंग	0	10	क	कर	करे	ग	ंग	िंग	0	क	र	े	​	क	कर	रे	े​	​क	क्	करे	रे​	े​क	​क्	क्ट	करे​	रे​क	े​क्	​क्ट	क्टि	करे​क	रे​क्	े​क्ट	​क्टि	क्टिं	NULL	ऑटो	के	दौरान	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	ऑटो	करे​क्टिंग	दौरान	स्टॉक	0
दौरान	0	5	द	दौ	दौर	न	ान	रान	0	द	ौ	र	ा	न	दौ	ौर	रा	ान	न_	दौर	ौरा	रान	ान_	न__	दौरा	ौरान	रान_	ान__	न___	दौरान	ौरान_	रान__	ान___	न____	करे​क्टिंग	के	स्टॉक	आर्इओएस	0
स्टॉक	0	5	स	स्	स्ट	क	ॉक	टॉक	0	स	्	ट	ॉ	क	स्	्ट	टॉ	ॉक	क_	स्ट	्टॉ	टॉक	ॉक_	क__	स्टॉ	्टॉक	टॉक_	ॉक__	क___	स्टॉक	्टॉक_	टॉक__	ॉक___	क____	के	दौरान	आर्इओएस	कीबोर्ड	B_ASP
आर्इओएस	0	7	आ	आर	आर्	स	एस	ओएस	0	आ	र	्	इ	ओ	आर	र्	्इ	इओ	ओए	आर्	र्इ	्इओ	इओए	ओएस	आर्इ	र्इओ	्इओए	इओएस	ओएस_	आर्इओ	र्इओए	्इओएस	इओएस_	ओएस__	दौरान	स्टॉक	कीबोर्ड	अलग	I_ASP
कीबोर्ड	0	7	क	की	कीब	ड	्ड	र्ड	1	क	ी	ब	ो	र	की	ीब	बो	ोर	र्	कीब	ीबो	बोर	ोर्	र्ड	कीबो	ीबोर	बोर्	ोर्ड	र्ड_	कीबोर	ीबोर्	बोर्ड	ोर्ड_	र्ड__	स्टॉक	आर्इओएस	अलग	तरह	I_ASP
