ID	Polarity	Text
1	pos	इसकी ऑडियो क्‍वालिटी शानदार है इसके लिए लैपटॉप में जेबीएल स्‍पीकर और डॉल्‍बी होम थियेटर के अलावा मल्‍टीपल स्‍टोरेज ऑप्‍शन दिया गया है।
2	neu	इंटल के चौथी पीढ़ी प्रोसेसर पर रन करने वाले लिनोवो आईडिया पैड Z510 में लेटेस्‍ट ग्राफिक कार्ड दिया गया है साथ ही इसमें लगी बैटरी एक बार फुल चार्ज होने पर 6 घंटे का बैटरी बैकप देती है। 
3	neu	लैपटॉप में एंटी ग्‍लेयर एचडी लिड स्‍क्रीन दी गई है।
4	pos	लैपटॉप में फास्‍ट टाइपिंग के लिए एक्‍यूटाइप कीबोर्ड दिया गया है। 
5	neu	देखने में इसकी डिज़ाइन ऐवरेज है।
6	neu	क्रोमबुक 2 का 11 इंच मॉडल ब्‍लैक और व्‍हाइट कलर में मिलेगा जबकि 13 इंच स्‍क्रीन मॉडल ग्रे कलर ऑप्‍शन में मिलेगा। 
7	pos	लैपटॉप  जिसकी कीमत भी ज्‍यादा नहीं है साथ ही इसमें दिए गए फीचर भी आपको पसंद आएंगे। 
8	pos	एचपी पवेलियन dv6 6100 की सबसे खास बात है इसमें आप अपनी जरूरत के हिसाब से कोर आई3, कोर आई 5 और कोर आई7 में कोई भी प्रोसेसर चुन सकते हैं।
9	neu	इसके साथ डिवाइस में 4 जीबी की डीडीआर3 रैम दी गई है जो 1600 मेगाहर्ट की स्‍पीड प्रोवाइड करती है।
10	pos	जो शुरुआती कंप्‍यूटर यूजरों के लिए एक अच्‍छा विकल्‍प है। 
11	pos	इसके अलावा लैपटॉप में डॉल्‍बी एडवांस ऑडियो वी2 तकनीक दी गई है जो साउंड की क्‍वलिटी को और बढा देती है।
12	neu	एसर एस्‍पायर 5755 में 15.6 इंच की ग्‍लॉसी लिड बैकलिट स्‍क्रीन दी गई है जो 1366 x 768 रेज्‍यूलूशन को सपोर्ट करती है।
13	pos	कम कीमत जरूरी सॉफ्टवेयर इनबिल्‍ड हैं बेहतर परफार्मेंस 
14	neu	सिंगल माउस बटन साधारण साउंड क्‍वालिटी
15	neu	पिछले कुछ समय से बाजार में बढ़ती प्रतिद्वंद्विता के चलते 25000 रुपये से कम कीमत के लैपटापों की बाजार में भरमार हो गई है।
16	neu	ऐसे में अक्सर यह तय करना मुश्किल हो जाता है कि कौन से ब्रांड का कौन सा माडल खरीदा जाए क्योंकि कागजों पर सभी के दावे लगभग एक जैसे हैं और असली परफार्मेंस तो इन्हें इस्तेमाल करने पर ही पता चलती है।
17	pos	इस लैपटाप की खासियत है इसकर एंटी-रिफलेक्टिव स्क्रीन , मतलब यह कि इस पर काम करते हुए आंखों पर बहुत ज्यादा जोर नहीं पड़ेगा।
18	pos	इसके अलावा 1366 गुणा 768 पिक्सल के रिजोल्यूशन के साथ हाइ डेफिनेशन एलईडी डिसप्ले बहुत अच्छा है।
19	pos	फिल्में देखने अथावा वीडियो देखने का अनुभव इस लैपटाप पर काफी अच्छा है।
20	neu	इसकी स्क्रीन 15.6 इंच की है।
21	pos	इसमें 500 जीबी की हार्ड डिस्क और दो जीबी रैम है जो 2.30 गीगाहर्टज इंटेल पेंटियम प्रोसेसर के साथ  काम करने की स्पीड को बेहतर बनाता है।
22	neu	एक साथ कई एप्लीकेशन पर काम करने से भी इस लैपटाप की स्पीड पर बहुत ज्यादा असर नहीं पड़ता है।
23	pos	फिल्मों, गेमिंग और वीडियो को प्राथमिकता देने वालों के लिए यह अच्छा विकल्प हो सकता है।
24	neg	बैटरी कुछ कमजोर होने के कारण कामकाजी लोगों को सफर के दौरान इसका इस्तेमाल करना असुविधाजनक लग सकता है।
25	neu	इसमें विंडोज़  और अन्य लाइसेंसी साफ्टवेय लोड करवाने के लिए लगभग पांच हजार रुपये तो कम से कम अतिरिक्त खर्च करने ही पड़ेंगे।
26	neu	अपने निपटान में भी एक वेब कैमरा, वाई-फाई, ब्लूटूथ, और यहां तक ​​कि एक फिंगरप्रिंट स्कैनर दिया जाता है।
27	pos	इंटेल प्रोसेसर अच्छी कार्यक्षमता है।
28	neu	स्क्रीन 1366x768 पिक्सल के एक संकल्प के साथ 15.6 इंच है।
29	pos	प्रदर्शन ही एक मैट लग रही है, तो उस पर काम और अधिक सुविधाजनक चमक और प्रतिबिंब के बिना चमकदार स्क्रीन से अधिक है।
30	pos	ग्राफिक्स ग्राफिक्स कार्ड स्थापित और समर्पित स्मृति के 2GB के साथ इंटेल HD असतत NVIDIA GeForce जी.टी. 740M है, अच्छा कर रहे हैं।
31	pos	काम करते हुए, लैपटॉप लेनोवो v580c बहुत गर्म है, और वास्तव में कोई शोर मुद्दों नहीं।
32	neg	चमकदार सतह बहुत आसानी से गंदे है और लैपटॉप की दिखावट साफ किया था कि उसे इतना उंगलियों के निशान, खरोंच, आदि, आप समय समय पर एक कपड़े से साफ करने के लिए होगा।
33	neu	इकट्ठे लैपटॉप लेनोवो v580c गुणवत्ता और तेजी से, लेकिन कवर छोटे भार के तहत शिथिलता के लिए जाता है।
34	neg	वजन devaysa परिवहन के लिए बहुत सुविधाजनक नहीं है, जो लगभग तीन पाउंड तक पहुँचता है।
35	pos	लेकिन इस तरह के एक मॉडल के एक घर कंप्यूटर के लिए एक शानदार विकल्प हो सकता है।
36	pos	लेनोवो G500 उच्च स्तर के प्रदर्शन पर निकलता है जो निर्माता, विंडोज 8, द्वारा निर्धारित है।
37	!!!	हम चाहते हैं कि एक बहुत कुछ है, लेकिन अब कम से कम पांच सौ ग्राम वजन कंप्यूटर रहे हैं कि इस तथ्य पर विचार नहीं कर सकते हैं - एक बहुत।आप हमेशा तुम्हारे साथ इसे ले बेशक, अगर, अभी या बाद में थक कंधे मिलता है।
38	pos	डिवाइस का सकारात्मक विशेषताओं HDMI के इनपुट, कूलर, काम पर कोई आवाज नहीं, एक सोने मोड ढक्कन बंद करने या सत्ता बटन दबाने में प्रवेश करने की क्षमता शामिल है।
39	!!!	आप ऐसा नहीं कर सकते, जो बिना minuses, की, यह चाबी का पूरा आनंद के लिए F1-F12 आगे एफ एन शिकंजा कसने के लिए आवश्यक हो जाएगा कि ध्यान देने योग्य है।
		
40	neg	इसके अलावा, वीडियो या साउंड कार्ड के लिए ड्राइवरों की स्थापना के साथ एक समस्या हो सकती है।
41	neu	योगा 2 अल्ट्राबुक- कंपनी द्वारा लांच किया गया योगा 2 लैपटॉप एक कनवर्टिबल अल्ट्राबुक है।
42	neu	इस अल्ट्राबुक में 10 प्वाइंट तक की मल्टी-टच विशेषता है और साथ ही इसकी स्क्रीन 360 डिग्री के आकार में पूरी घूम जाती है।
43	pos	विभिन्न सुविधाओं वाले इस अल्ट्राबुक को लेनोवो ने 59,990 रुपये के दाम पर लांच किया है।
44	neu	लेनोवो फ्लैक्स 2-यह लैपटॉप कंपनी के बजट डिवाइस में से एक है जिसकी 14 इंच की स्क्रीन है।
45	neu	यह लैपटॉप आपको मार्केट में 41,990 रुपये के दाम पर मिल सकता है।
46	neu	लेनोवो जी 40/जी 50 लैपटॉप- लेनोवो के सबसे पतले लैपटॉप में से एक लेनोवो जी40/जी50 गीगालैन को सपोर्ट करता है।इस लैपटॉप में डीवीडी ड्राइव व एएमडी प्रोसेसर लगाया गया है।
47	neu	लेनोवो जेड50-यह एक मल्टीमीडिया नोटबुक है जिसकी 15.6 इंच की एचडी डिस्प्ले है।
		
48	pos	इस लैपटॉप में एक्यूटाइप की-बोर्ड लगाया गया है और साथ ही की-बोर्ड के 'की' को काफी बेहतर डिजाइन और आकार दिया गया है जिसकी बदौलत टाइप करते समय आपको काफी अच्छा लगेगा।
49	pos	लेनोवो सी260-9.5 इंच के डिस्प्ले वाले लेनोवो सी260 लैपटॉप को आल-इन-वन डिवाइस माना गया है क्योंकि यह आपके लिए काम के साथ-साथ मनोरंजन का साधन बनने में भी सक्षम है।
50	pos	कंपनी से मिली सूचना के अनुसार यह सभी नए लैपटॉप आपको लेनोवो के किसी भी स्टोर या अन्य बड़े इलेक्ट्रानिक स्टोर पर आसानी से मिल जाएंगे।
51	pos	आधुनिक समाज में, एक महान लोकप्रियता नवीन प्रौद्योगिकी का उपयोग करने के लिए शुरू किया।लगभग हर कोई फोन या कंप्यूटर, और इस तरह के और अधिक उन्नत उपयोगकर्ताओं के लिए पूरी तरह से अनुकूल लैपटॉप लेनोवो आइडिया पैड Z510, के रूप में उपकरणों के बिना नहीं कर सकते।
52	pos	इन उपकरणों का उपयोग करने के लिए, आप उत्पाद के बारे में एक विचार करने की जरूरत है और उपयोग करने के लिए बुनियादी कौशल है।
53	pos	लैपटॉप लेनोवो आइडिया पैड Z510 एक रोमांचक वीडियो गेम के लिए अपने समय बिताना पसंद करते हैं, जो उन लोगों के लिए एकदम सही है।
	
54	pos	लेनोवो महान मल्टीमीडिया क्षमताओं के साथ एक मॉडल के रूप में श्रृंखला में एक लैपटॉप प्रदान की गई है।
