ID	Polarity	Text	
1	pos	यह नेशनल पार्क एक सींग वाले गैंडे (राइनोसेरोस) के लिए दुनियाभर में जाना जाता है। 	एक सींग वाले गैंडे:pos	category=m:pos
2	neu	यहां पर गैंडे की आबादी सबसे अधिक है। 	category=m:neu
3	pos	असम में ब्रह्मपुत्र नदी के किनारे स्थित इस पार्क में गैंडे के साथ-साथ हाथी, चीता, बाघ, हिरण, डॉल्फिन, सांभर आदि देखे जा सकते हैं। 	category=m:pos
4	pos	इतना ही नहीं, यहां पर पक्षियों की अलग-अलग प्रजातियां भी देखने को मिल जाएंगी। 	पक्षियों की अलग-अलग प्रजातियां:neu	category=m:pos
5	pos	हाथी पर बैठकर पार्क की सैर और जंगली जानवरों को करीब से देखने का रोमांच ही कुछ और है। 	हाथी पर बैठकर पार्क की सैर :pos	category=m:pos
6	neu	इस पार्क को दिसंबर 1985 में वल्र्ड हेरिटेज साइट के रूप में मान्यता मिली।	वल्र्ड हेरिटेज साइट:pos	category=
7	neu	यह सैंक्चुअरी भी असम में ही स्थित है। 	category=
8	neu	इसे वल्र्ड हेरिटेज साइट के साथ-साथ प्रोजेक्ट टाइगर रिजर्व, बायोस्फियर रिजर्व, एलिफैंट रिजर्व आदि भी घोषित किया गया है। 	category=
9	pos	यह पार्क अपनी जैव विविधता के लिए मशहूर है। 	category=
10	pos	हां आने के बाद जैव विविधता को करीब से महसूस कर पाएंगे। 	category=
11	pos	इस सैंक्चुअरी में एक सींग वाले गैंडे के साथ हिमालयन भालू, बाघ, पिग्मी हॉग आसानी से दिखाई  दे जाएंगे। 	category=
12	pos	इसके अलावा, यह कई लुप्तप्राय जानवरों का घर भी है। 	category=
13	pos	पानी में रहने वाले भैंसें भी यहां बड़ी संख्या में दिखाई दे जाएंगे।	category=
14	pos	यहां आने के बाद आप जंगल सफारी का लुत्फ उठा सकते हैं। 	category=
15	neu	इसे दिसंबर 1985 में वल्र्ड हेरिटेज साइट के रूप में मान्यता मिली।	category=
16	pos	अगर पक्षियों को देखना हो, तो केवलादेव नेशनल पार्क (राजस्थान) से बेहतर जगह और क्या हो सकती है। 	category=
17 	neu	1982 में भरतपुर बर्ड सैंक्चुअरी को नेशनल पार्क घोषित किया गया। 	category=
18	neu	इसका नाम बदलकर केवलादेव घना नेशनल पार्क रखा गया।	category=
19	neu	इस पार्क में पक्षियों की लगभग 364 किस्मों का प्राकृतिक आवास है। 	category=
20	neu	इसके अलावा, यहां कछुओं, मछलियों, उभयचरों की कई किस्में पाई जाती हैं। 	category=
21	neu	पक्षियों के अलावा, काला हिरन, पायथन, सांभर, हिरण और नीलगाय भी देख सकते हैं। 	category=
22	neu	यहां फूलों की भी अलग-अलग किस्में पाई जाती हैं।	category=
23	pos	अगर पहाड़ों की सैर पसंद है, तो वेस्टर्न घाट के पहाड़ देख सकते हैं। 	category=
24	neu	ये पहाड़ हिमालय के पहाड़ से भी पुराने हैं। 	category=
25	neu	करीब 1600 किलोमीटर लंबे वेस्टर्न घाट की रेंज गुजरात से शुरू होकर महाराष्ट्र, कर्नाटक होती हुई गोवा और केरल तक फैली है और कन्याकुमारी इसका अंतिम छोर है। 	category=
26	pos	जैव विविधता के लिहाज से यह काफी संपन्न क्षेत्र है। 	category=
27	neu	यहां पर प्लांट की 229, मैमल की 31, बर्ड की 15, एम्फिबियन की 43 और रेप्टाइल की 5 प्रजातियां पाई जाती हैं। 	category=
28	pos	यह माउंटेन रेंज कितना महत्वपूर्ण है, इसका अंदाजा इसी बात से लगाया जा सकता है कि ये रेंज मानसून की स्थिति तक को प्रभावित करते हैं। 	category=
29	pos	यहां दौडऩे वाली कोंकण रेलवे में सफर करना एक खूबसूरत एहसास होगा। 	category=
30	neu	2012 में इसे वल्र्ड हेरिटेज साइट के रूप में मान्यता मिली।	category=
31	neu	अगर रॉयल बंगाल टाइगर को करीब से देखना हो, तो पश्चिम बंगाल के दक्षिणी भाग में गंगा नदी के सुंदरबन डेल्टा क्षेत्र में स्थित इस पार्क की सैर कर सकते हैं। 	category=
32	neu	सुंदरबन नेशनल पार्क दो प्रमुख नदियों ब्रह्मपुत्र और गंगा से घिरा हुआ है। 	category=
33	neu	यह नेशनल पार्क मैंग्रोव जंगल (दुनिया का सबसे बड़ा मैंग्रोव जंगल) से घिरा है। 	category=
34	neu	यहां पर टाइगर के साथ-साथ आपको चीतल, हिरण, जंगली बंदर देखने को मिलेंगे। 	category=
35	neu	वर्ष 1987 में इसे वल्र्ड हेरिटेज साइट का दर्जा मिला।	category=
36	neu	नंदा देवी नेशनल पार्क उत्तराखंड के नंदा देवी पर्वत पर स्थित है। 	category=
37	neu	इसी क्षेत्र में वैली ऑफ फ्लावर नेशनल पार्क भी है। 	category=
38	pos	यह अल्पाइन के फूलों और हरे-भरे घास के मैदान के लिए दुनिया भर में मशहूर है। 	category=
39	neu	यहां लुप्तप्राय जानवर, जैसे-एशियाटिक ब्लैक बियर, स्नो लैपर्ड, ब्राउन बियर और ब्लू शीप भी पाए जाते हैं। 	category=
40	neu	आमतौर पर फूलों की यह घाटी जून से लेकर सिंतबर तक खुलती है। 	category=
41	neu	नंदा देवी नेशनल पार्क और वैली ऑफ द्ब्रलावर को सम्मिलित रूप से 1988 में वल्र्ड हेरिटेज साइट घोषित किया गया।	category=
42	pos	ग्रेट हिमालयन नेशनल पार्क हिमाचल प्रदेश के कुल्लू क्षेत्र का प्रमुख आकर्षण है। 	category=
43	neu	यहां पर भालू, कस्तूरी मृग, हिम तेंदुए, हिमालयन थार देखे जा सकते हैं। 	category=
44	neu	पार्क फूलों की कई प्रजातियों का घर भी है। 	category=
45	neu	ग्रेट हिमालयन नेशनल पार्क कंजर्वेशन एरिया वल्र्ड हेरिटेज साइट की सूची में शामिल है।	category=
46	neu	यूनेस्को द्वारा वल्र्ड हेरिटेज साइट की मान्यता तीन कैटेगरी में दी जाती हैं- कल्चरल, नेचुरल ऐंड मिक्स्ड ।	category=
47	neu	अब तक 1007 परिसंपत्तियों को वल्र्ड हेरिटेज घोषित किया गया है, जिनमें 31 ट्रांसबाउंड्री, 2 डिलिस्टेड, 46 इनडेंजर, 779 कल्चरल, 197 नेचुरल, 31 मिक्स्ड और 161 स्टेट्स पार्टीज हैं।	category=
48	neu	इटली को होम ऑफ वल्र्ड हेरिटेज साइट कहा जाता है, क्योंकि वहां पर 50 वल्र्ड हेरिटेज साइट्स हैं। 	category=
49	neu	इसके बाद चीन में 47, स्पेन में 44, फ्रांस में 39, जर्मनी में 39, मैक्सिको में 32 और भारत में 32 वल्र्ड हेरिटेज साइट्स हैं।	category=
50	neu	भारत के कुल 32 वल्र्ड हेरिटेज साइट्स में से 25 कल्चरल और 7 नेचुरल साइट्स हैं।	category=
51	neu	वल्र्ड हेरिटेज डे की शुरुआत 18 अप्रैल, 1982 को हुई थी, जब इकोमास (इंटरनेशनल काउंसिल ऑन मोन्यूमेंट्स ऐंड साइट्स, यह संस्था इस साल अपना 50वीं (1965-2015) एनिवर्सरी सेलिब्रेटकर रही है) ने ट्यूनीशिया में इंटरनेशनल डे फॉर मोन्यूमेंट्स ऐंड साइट का आयोजन किया था। 	category=
52	neu	इस कार्यक्रम में कहा गया कि दुनियाभर में इस दिवस का आयोजन होना चाहिए। 	category=
53	neu	इस आइडिया को नवंबर 1983 में यूनेस्को के 22वें सेशंस में भी अनुमोदन कर दिया गया। 	category=
54	neu	उसके बाद हर साल 18 अप्रैल को इंटरनेशनल मोन्यूमेंट्स ऐंड साइट्स डे सेलिब्रेट किया जाता है, जिसे वल्र्ड हेरिटेज डे भी कहा जाता ह     	category=
55	pos	कान्हा की वादियों के नैसर्गिक सौंदर्य का दीदार करने आए विदेशी पर्यटक बैहर में बैगाओं की संस्कृृति और परंपरगत खेलों को भी नजदीक से देख सकेंगे। 	category=
