ID	Polarity	Text
1	neu	जॉम्बि जोनर पर पहले भी फिल्म बन चुकी है। 
2	pos	हॉलीवुड में इस जोनर पर फिल्म बनाने वाले फिल्ममेकर्स की कोशिश है कि इन फिल्मों को दर्शकों के साथ ही मेकर्स के लिए भी लाभ का सौदा बनाया जा सके। 
3	neu	जॉम्बी जोनर में बनने वाली फिल्म ग्लैमरस तो नहीं है क्योंकि वैंपायर पर बेस्ड फिल्म होती है। 
4	pos	इसलिए मेकर्स की कोशिश होती है कि ज्यादा से ज्यादा लोगों का मनोरंजन किया जा सके।अर्नाल्ड श्वेजनेगार ने इस बार ऐसा ही कुछ प्रयोग किया है। 
5	neu	हालांकि 'मैगी' के साथ भी ऐसा हुआ है कि हॉरर के बजाए कई बार फिल्म कॉमेडी लगती है।
6	neg	हालांकि कहानी बीच में कई बार भटक जाती है। 
7	neg	इसलिए लय टूटती है। 
8	con	फिल्म की कहानी अच्छी होते हुए भी उसे ठीक से परदे पर नहीं उतारा गया है। 
9	neg	यही कारण है कि दर्शक फिल्म से जुड़ नहीं पाते हैं।
10	neg	सबकुछ फिल्म में बोरिंग सा लगता है। 
11	neg	बहुत ही डलनेस सा महसूस होता है। 
12	neu	अर्नाल्ड इस बार बहुत ही सीरियस किरदार में है।  
13	neu	यह पहला मौका है जब उन्होंने ऐसा किरदार निभाया है। 
14	neg	फैंस जो है वो इस रोल से निराश होंगे।
15	con	अर्नाल्ड की मौजूदगी से फिल्म में कुछ देर के लिए ही सही मगर बात तो बनती है मगर कहानी की गडमड से बात उलझ जाती है। 
16	neu	फिल्म में कुछ देर बाद अन्य हॉरर फिल्मों जैसा ही महसूस होने लगता है। 
17	neg	कोई बड़ा थ्रिल तो नहीं देखने को मिलता। 
18	neu	एक मौका तो ऐसा आता है जब इसे देख बिलकुल भी डर नहीं लगता है। 
19	neg	यही इस फिल्म की सबसे बड़ी कमजोरी है। 
20	neu	यह देख लगता है कि फिल्ममेकर ने क्या सोचकर फिल्म बनाई।  
21	neu	भारत और पाकिस्तावन के बीच पल रहे दुराग्रहों और पूर्वाग्रहों को तोड़ती कुछ फिल्मों की कड़ी में ‘वेलकम 2 कराची’ को भी रखा जा सकता है। 
22	pos	दोनों देशों के बीच किरदारों के मेल-मिलाप, हंसी-मजाक और हास्यास्पद प्रसंगों से मौजूद तनाव को कम करने के साथ समझदारी भी बढ़ सकती है। 
