ID	Polarity	Text
1	neg	टैबलेट  में सिंगल कोर प्रोसेसर बीते जामने की बात लगता है ।  लेकिन दिलचस्प बात है । कि एचसीएल जैसी दिग्गज कम्पनी ने  ऐसे समय में सिंग कोर प्रोसेसर आधारित टैब्लेट बाज़ार में उतारा है । जब कि डयूअल और क्वाड कोर प्रोसेसर  वाले टैबलेट की भरमार है । 
2	neu	गौरतलब है । कि प्रोसेसर की क्षमता जितनी ज्यादा होगी उतने ज्यादा प्रभावी ढंग से आपका टैबलेट काम करेगा।सिंगल कोर में सबसे कम क्षमता होती है । जबकि डयूअल कोर में उसे ज्यादा क्षमता होती है । और क्वाड कोर इन दोनों से ज्यादा क्षमता वाला प्रोसेसर है । 
3	pos	सात इंच की स्क्रीन वाले इस टैबलेट की लुक औसत से बेहतर है ।  
4	neu	इसमें 3.2 एमपी का कैमरा है । जो बहुत ज्यादा शानदार तस्वीर नहीं खींच सकता है । 
5	neu	टैब्लेट में मिनी एचडीएमआई पोर्ट , मिनी यूएसबी पीसी इंटरफेस  और माक्रोफोन के लिए एक ओपनिंग भी है । 
6	pos	स्क्रीन का रिज़ोल्यूशन 1024 गुणा 600 है । जो काफी अच्छा है । 
7	neu	फोन में माइक्रो एसडी कार्ड के अलावा दो सिम कार्ड भी डाले जा सकते हैं।
8	pos	इस टैबलेट की एक खासियत यह है । कि इसमें कालिंग की सुविधा है । 
9	pos	फोन में एआरएम कार्टेक्स प्रोसेसर है । जिसका क्षमता एक गीगाहर्टज है । इसमें पावरवीआरएसजीएक्स 531 ग्राफिक्स प्रोसेसर भी है । जो ग्राफिक्स को बेहतर करता है । 
10	neu	पर इस्तेमाल करने वाले के पास दो जीबी इंटरनल मेमोरी उपलब्ध होगी , इसलिए इसे खरीदते ही एक मेमोरी कार्ड तो आपको डलवाना ही पड़ेगा जिसका अतिरिक्त खर्चा इसी की कीमत में जोड़कर  अपना टैबलेट खरीदने का बजट बनाएं।
11	neu	कनेक्टिवीटि के 3जी, सिम, वाइ-फाइ, ब्लू टूथ आदि कई विकल्प हैं।
12	pos	इसमें एफएम रेडियो भी है । जो बहुत से टैबलेट में अक्सर नहीं मिलता है । 
13	pos	इसमें एफएम में चल रहे पसंदीदा गानों को रिकार्ड भी कर सकते हैं और इसमें लगा स्कैनर सभी उपलब्ध एफ एम चैनलों की खुद ब खुद स्कैनिंग करता है । 
14	pos	इस टैबलेट में मौजूद एक खास किस्म के ट्रांसमीटर की मदद से आप अपनी पसंद का म्यूज़िक घर, कार यां एफएम पर ट्रांसफर कर सकते हैं।
15	neu	इस टैबलेट में एंड्रायड 4.04 ( आइसक्रीम सैंडविच) आपरेटिंग साफ्टवेयर है । 
16	pos	गेमिंग और संगीत का शौंक रखने वालों के लिए तथा टैबलेट में कालिंग सुविधा चाहने वालों के लिए यह अच्छा विकल्प है । 
17	neg	लेकिन सिंगल कोर प्रोसेसर के कारण रोजमर्रा के काम और कई एप्लीकेशन एक साथ चलाने की जरूरत जिन्हें है , उन्हें इसी कीमत में अथवास इससे कुछ अधिक में डयूअल कोर प्रोसेसर मिल सकता है । 
18	neg	इसके अलावा फोन की इंटरनल मेमोरी भी केवल 4 जीबी की है । 
