ID	Polarity	Text
1	pos	हालांकि डिजाइन के लिहाज से यह यूजर्स को काफी अट्रैक्टिव करेगी।  
2	pos	पहली नजर में तो यह एक आम वॉच ही लगेगी, लेकिन इंटरनल सिस्‍टम इसको आम से खास बना देगा।  
3	neu	एलजी Urbane में यूजर्स को 1। 3 इंच की P-OLED डिस्‍प्‍ले मिलेगी।  जोकि राउंड शेप में है। 
4	neu	इसके साथ ही इस वॉच में 320 x 320 pixel का रिजॉल्‍यूशन मिलेगा, वही इसमें 348ppi pixel की डेन्सिटी भी मिलेगी।  
5	neu	ऑपरेटिंग सिस्‍टम में यह एंड्रायड ओएस को सपोर्ट करेगी।  
6	neu	इस स्‍मार्टवॉच का वजन 45 ग्राम है।  
7	pos	वहीं अगर आप इसका फ्रंट फेस चेंज करना चाहते हैं, तो यह आसानी से बदला जा सकता है। 
8	neu 	इसके अलावा इसमें माइक्रोफोन भी है, जिसकी मदद से यूजर्स वॉयस कमांड दे सकते हैं।  
9	neu	इस स्‍मार्टवॉच के बैक साइड में हार्ट रेट सेंसर लगा हुआ है।  
10	neu	इसके साथ ही 5 गोल्‍डेन डॉट्स भी हैं, जो चार्जिंग प्‍वॉइंट्स को रिप्रेसेंट करते हैं।  
11	neu	इसके अलावा Urbane (3G) में accelerometer, gyroscope, compass, barometer और heart-rate monitor सेंसर भी लगे हुए हैं। 
12	neu	इस वॉच के प्रोसेसर की बात करें, तो इसमें 1। 2GHz का क्‍वॉड-कोर Qualcomm Snapdragon 400 SoC प्रोसेसर लगा हुआ है।  
13	neu	इसके अलावा इसमें Adreno 305 GPU भी लगा हुआ है।  
14	neu	एलजी की Urbane (3G) वॉच में 400mAh की Li-ion battery लगी हुई है। 
15	pos	कहने को यह सिर्फ एक स्‍मार्टफोन है लेकिन अगर आप इस डिवाइस की खूबियों पर नजर डालेंगे तो यह डिवाइस अपनी समानांतर डिवाइसों को कहीं पीछे छोड़ देगी।  
16	pos	यह स्‍मार्टफोन लेजर प्रोजेक्‍टर से लैस है जिसकी मदद से आप फोन की स्‍क्रीन पर अवेलेबन कंटेंट को किसी दीवार या टेबल पर प्रोजेक्‍ट कर सकते हैं।  
17	neu	जैसे अगर आप अपने फोन पर कोई फिल्‍म देख रहे हैं तो एक टच से उस स्‍क्रीन को दीवार पर प्रोजेक्‍ट कर सकते हैं। 
18	pos	लेनोवो ने एक स्‍मार्टवॉच लांच की है जिसमें डबल स्‍क्रीन है जिससे वह अन्‍य स्‍मार्टवॉचेज की तुलना में यूजर्स को ज्‍यादा आउटपुट देने में सक्षम है। 
19	pos	इस वॉच में वीडियोज भी आसानी से देखे जा सकते हैं।  
20	pos	यही नहीं वॉच की दूसरी स्‍क्रीन वर्चुअल रियलिटी का अनुभव देती है। 
21	pos	गर आप 'एप्‍पल वॉच' के इन्‍नोवेटेड इंटरफेस और स्‍पेशल फीचर्स के बारे में जानना चाहते हैं तो आप यह जान लें कि यह डिवाइस आपको कई खास फीचर्स देगी।  
22	pos	यह एक नए तरह की डिवाइस है।  
23	neg	इस डिवाइस को समझने में आपको थोड़ी मेहनत करनी पड़ सकती है।  
24	neg	मसलन आईफोन की तरह इस डिवाइस में आसान नेविगेशन और टच प्‍वॉइंट्स नहीं हैं।  
25	neu	हालांकि एप्‍पल ने जल्‍द ही सॉफ्टवेयर अपग्रेड देने का वायदा किया है। 
26	neg	अगर डिजाइन की बात करें तो यह डिवाइस आपको थोड़ी भारी प्रतीत हो सकती है।  
27	neu	स्‍क्रॉल करने के लिए डिवाइस के साइड में एक नॉब दिया गया है।  
28	pos	एक घड़ी के लिहाज से देखा जाए तो इस डिवाइस की डिजाइन काफी अच्‍छी है।  
29	neu	एप्‍पल ने इस डिवाइस में अपनी 'सीरी टेक्‍नोलॉजी' को मुख्‍यता से यूज किया है क्‍योंकि आप इस डिवाइस में टाइप नहीं कर सकते हैं।  
30	neu	ऐसे में आपको जो भी नोटीफिकेशन देने होंगे वह सभी नोटिफिकेशंस आपको बोलकर देने होंगे।  
31	neg	इसके अलावा वॉच के फीचर्स को यूज करने के लिए आपको सिर्फ अपनी डिवाइस की स्‍क्रीन को थोड़ जोर से प्रेस करना होगा।  
32	neg	थोड़ी तो कन्‍फ्यूजिंग है एप्पल वॉच
33	neg	अगर एप्‍पल वॉच के इंटरफेस की बात की जाए तो यह बात सभी टेक एक्‍सपर्ट्स ने मानी है कि पहले-पहल यह डिवाइस आपको बहुत कन्‍फ्युजिंग लग सकती है।  
34	pos	लेकिन जब तीन-चार दिनों तक डिवाइस के फीचर्स को यूज करने की कोशिश करेंगे तब आपको इस डिवाइस की खासियत समझ आना शुरु होगी।  
35	neu	दरअसल यह एप पर्सनल यूसेज के लिए डिजाइन की गई है।  
36	neu	इसलिए आपको इस डिवाइस के फीचर्स को अपने व्‍यक्तिगत यूसेज के हिसाब से सेट करना होगा। 
37	neu	एलसीडी स्क्रीन, एंड्रायड वीयर, 320 मिली एंपियर ऑवर, पैडोमीटर, हर्ट-रेट मॉनिटर। 
38	neu	वाटर रस्सिटेंस आईपी 67 (30 मिनट तक एक मीटर गहरे पानी में रखा जा सकता है)। 

40	neu	कीमत 199 डॉलर है।
41	con	मोटो 360 बेहतरीन स्मार्टवॉच है, लेकिन इसका हार्ड वेयर उतना उम्दा नहीं है।  
42	neg	बैटरी लाइफ़ भी बेहतर नहीं।  
43	neu	ओएलईडी स्क्रीन, एंड्रायड वीयर
44	neu	410 मिली एंपियर ऑवर बैटरी क्षमता
45	neu	बैरोमीटर, गेयरोस्कोप, कंपास, हर्ट-रेट मॉनिटर
46	neu	जी वाच आर सॉलिड बॉडी का है।  
47	neu	ट्रेडिशनल लुक है।  
48	neg	बहुत स्टाइलिश नहीं है।  
49	neu	ओएलईडी स्क्रीन, एंड्रायड वीयर, वाटर रस्सिटेंस आईपी 67 (30 मिनट तक एक मीटर गहरे पानी में रखा जा सकता है)। 
50	neu	300 मिली एंपियर ऑवर बैटरी क्षमता है। 
51	neu	बैरोमीटर, गेयरोस्कोप, कंपास, हर्ट-रेट मॉनिटर है। 
52	neu	वॉयस कमांड से नियंत्रण संभव है। 
53	neu	कीमत 169 डॉलर है। 
