ID	Polarity	Text
1	pos	Philips की Ambilight सीरीज हमेशा से ही अपनी खूबसूरती के लिए जानी जाती रही है। 
2	pos	इस TV की खासियत इसमें इस्तेमाल की गयी Ambilight टेक्नोलॉजी है। 
3	pos	इस TV के बैकपैनल में खास LED Lights की पट्टियां लगी हुई है, जो स्क्रीन पर चल रही तस्वीर के हिसाब से अपने रंग बदलने की काबिलियत रखती है। 
4	neu	आप चाहे तो इस Ambilight को अपने हिसाब से कस्टमाइज भी कर सकते है। 
5	pos	Ambilights के कारण ये TV दिखने में बेहद खूबसूरत लगता है। 
6	pos	Wall Mount होने पर इसके पीछे से जगमगाती रंग-बिरंगी लाइट बेहद खूबसूरत इफेक्ट डालती है। 
7	pos	जिससे TV देखने का मजा ही कुछ और हो जाता है, वो और ज्यादा रियलिस्टिक लगने लगता है। 
8	pos	इसके साथ ही Ambilight के कारण ज्यादा देर तक TV देखते वक्त आंखों पर जोर भी कम पड़ता है। 
9	pos	इन सबके अलावा आपके लिविंग रूम की शान तो बढ़ती ही है। 
10	neu	माइक्रोमैक्स के इस टेलीविजन का मॉडल 50B5000FHD LED स्पोर्ट्स के नाम से है। 
11	neu	इसके किनारों को कर्व का डिजाइन दिया गया है। 
12	neu	इसके फ्रंट के सेंटर में नीचे की तरफ पावर का बटन दिया गया है। 
13	neu	साथ ही, वॉल्यूम कंट्रोल, चैनल और सोर्स (इनपुट) के बटन भी इसके नीचे दिए गए हैं। 
14	con	हालांकि, ये पूरी तरह प्लास्टिक की दिखाई देती है, लेकिन छूने पर अच्छा फीडबैक मिल रहा है।
15	neu	LED के पीछे स्पीकर्स और दूसरा सर्किट दिया है, इनमें ऑडियो पोर्ट, USB पोर्ट, 2 HDMI पोर्ट और VGA पोर्ट शामिल हैं। 
16	neu	इसके अलावा, AV (RCA) पोर्ट बाएं तरफ दिया गया है। RCA ऑडियो-वीडियो के इनपुट और आउटपुट में काम आता है। 
17	neu	बाएं तरफ ही कोएक्सीअल पोर्ट और अतिरिक्त USB पोर्ट दिया गया है। साथ ही, यहां हेडफोन और मिनी AV आउट जैक भी मौजूद है। 
18	con	जब LED स्टैंड पर रहेगा तब इन पोर्ट के साथ काम करने में आसानी है, लेकिन दीवार पर टांगने के बाद इन्हें कनेक्ट करना थोड़ा मुश्किल वाला काम है।
19	pos	टेलीविजन के साथ मेटल स्टैंड है, जो बिना किसी तामझाम के दिया हुआ है। 
20	pos	इस स्टैंड पर टीवी को आसानी से रखा जा सकता है। 
21	neu	इसके रिमोट कंट्रोल को ब्रश फिनिशिंग दी गई है। वहीं, नीचे की तरफ कंपनी का स्टीकर लगा हुआ है।
22	neu	ये टीवी एंड्रॉइड ऑपरेटिंग सिस्टम पर भी काम करेगी, जिसका मॉडल नंबर MI TV 2 40-Inch Full-HD है। 
23	neu	इस टीवी की कीमत 1,999 CNY यानी करीब 20,000 रुपए रखी गई है।
24	neu	इस नए Mi TV 2 श्याओमी के मॉडल में 40 इंच शार्प SDP X-GEN फुल HD पेनल दिया गया है। 
25	neu	साथ ही, इस में रेडिएंट LED ब्लैक मॉड्यूल, 14.4mm बेजल और 5000:1 डायनामिक कंट्रास्ट रेशियो दिया गया है। 
26	neu	इसके पुराने 49 इंच मॉडल में भी ये खासियत थीं। जिसमें 4K UHD डिस्प्ले दिया गया था।
27	neu	ये नई 40 इंच श्याओमी टीवी एंड्रॉइड के वर्जन 4.4 किटकैट पर काम करेगी। 
28	neu	कंपनी का कहना है कि इस में एंड्रॉइड 5.0 लॉलीपॉप का अपडेट भी रहेगा, लेकिन इसे अभी नहीं दिया जाएगा। 
29	neu	इसमें 1.45GHz क्वाड-कोर MStar 6A908 कोरटेक्स-A9 CPU के साथ Mali-450 MP4 GPU है। 
30	neu	साथ ही, 1.5GB DDR3 रैम दी गई है। टेलीविजन में ऐप्स इन्सटॉल करने के लिए ऑनबोर्ड 8GB स्टोरेज है। 
31	neu	टीवी में H.265, H.264, MPEG4, and REAL वीडियो डिकोडिंग सपोर्ट करने वाले फीचर दिए हैं। 
32	neu	ये TV वीडियो के कई फॉर्मेट जैसे rm, flv, mov, avi, mkv, ts, and mp4 को सपोर्ट करेगा।
33	neu	ये HD टीवी 1366*768 पिक्सल के रेजोल्यूशन के साथ आता है।
34	neu	32 इंच के इस टीवी की कीमत कंपनी ने 23990 रुपए रखी है। 
35	neu	इसी जगह माइक्रोमैक्स के 4K टीवी (HD से 8 गुना बेहतर क्वालिटी) वाले 42 इंच स्क्रीन वाले टीवी की कीमत 39990 रुपए रखी गई है। 
36	neg	माइक्रोमैक्स से मुकाबले इंटेक्स का टीवी स्पेसिफिकेशन के हिसाब से थोड़ा महंगा लगता है।
37	neu	कंपनी के अनुसार इस टीवी में आई सेफ T मैट्रिक्स LED तकनीक का इस्तेमाल किया गया है। 
38	pos	ये बेहतर क्वालिटी और वाइड व्यू देने के साथ-साथ यूजर्स की आंखों को भी नुकसान नहीं पहुचाती है। 
39	pos	इस टीवी को पावर बचाने के लिए डिजाइन किया गया है। 
40	neu	इंटेक्स का ये LED टीवी स्टीरियो सराउंट साउंड सिस्टम के साथ आता है जिसमें स्पीकर्स नीचे की तरफ दिए गए हैं।
41	neu	फुल एचडी वीडियो प्लेबैक के साथ ये टीवी डिजिटल नॉइस रिडक्शन तकनीक के साथ आता है। 
42	neu	कनेक्टिविटी के मामले में इस टीवी में यूएसबी 2.0 पोर्ट दिया गया है। 
43	neu	इंटेक्स LED टीवी का वजन 4.4 किलो का है। 
44	neg	अगर बाजार में उपलब्ध टीवी रेंज को देखें तो इंटेक्स का नया टीवी काफी भारी लगेगा। 
45	neu	इंटेक्स के इस टीवी में HDMI पोर्ट, VGA इनपुट पोर्ट, USB पोर्ट दिया गया है।
46	neu	अगर इंटेक्स के इस टीवी की तुलना सैमसंग और सोनी ब्राविया मॉडल से की जाए तो 32 इंच की रेंज में HD टीवी के कई मॉडल भारतीय मार्केट में इसी रेंज में मिल जाएंगे। 
47	pos	भारतीय कंपनी होने के साथ इंटेक्स के इस टीवी की कीमत फीचर्स को मुकाबले थोड़ी ज्यादा है।
48	neu	माइक्रोमैक्स के 4K टीवी 42 इंच और 49 इंच की स्क्रीन साइज ऑप्शन में आएंगे। 
49	neu	42 इंच स्क्रीन साइज वाले टीवी की कीमत 39990 रुपए है और 49 इंच के टीवी की कीमत 49990 रुपए रखी गई है।
50	neu	ये दोनों ही स्मार्ट टीवी डुअल कोर प्रोसेसर के साथ आते हैं। 
51	neu	इनकी मेमोरी बढ़ाने के लिए स्टोरेज पोर्ट भी है। 
52	neu	इसके अलावा, कनेक्टिविटी के लिए यूएसबी 3.0, यूएसबी 2.0 और HDMI पोर्ट दिए गए हैं। 
53	neu	माइक्रोमैक्स के ये दोनों ही टीवी एंड्रॉइड ऑपरेटिंग सिस्टम पर आधारित हैं।
54	neu	4K डिस्प्ले क्वालिटी का मतलब है HD से 8 गुना बेहतर डिस्प्ले क्वालिटी वाला डिवाइस। 
55	neu	4K उस डिस्प्ले रेजोल्यूशन को कहा जाता है जिसमें 4000 पिक्सल होते हैं। 
56	neu	इसे आम तौर पर अल्ट्रा हाई डेफिनेशन टेलीविजन भी कहा जाता है। 
57	pos	कुल मिलाकर कहा जाए तो ये अभी कमर्शियल टीवी में सबसे बेस्ट क्वालिटी है।
