बु	ुध	धव	वा	ार	
को	ो_	__	__	__	
ला	ां	ंच	च_	__	
हु	ुए	ए_	__	__	
इस	स_	__	__	__	
फी	ीच	चर	र_	__	
का	ा_	__	__	__	
ना	ाम	म_	__	__	
सि	िक	क्	्य	यो	
चै	ैक	कअ	अप	प_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

फे	ेस	सब	बु	ुक	
का	ा_	__	__	__	
सि	िक	क्	्य	यो	
चै	ैक	कअ	अप	प_	
फी	ीच	चर	र_	__	
पॉ	ॉप	पअ	अप	प_	
की	ी_	__	__	__	
तर	रह	ह_	__	__	
यू	ूज	जर	र्	्स	
को	ो_	__	__	__	
दि	िख	खा	ाइ	इ_	
दे	ेग	गा	ा_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
पॉ	ॉप	पअ	अप	प_	
बॉ	ॉक	क्	्स	स_	
मे	ें	ं_	__	__	
पा	ास	सव	वर	र्	
चे	ें	ंज	ज_	__	
कर	रन	ने	े_	__	
,_	__	__	__	__	
लॉ	ॉग	गइ	इन	न_	
अल	लर	र्	्ट	ट्	
चा	ाल	लू	ू_	__	
कर	रन	ने	े_	__	
और	र_	__	__	__	
मौ	ौज	जू	ूद	दा	
फे	ेस	सब	बु	ुक	
से	ेश	शन	न_	__	
को	ो_	__	__	__	
पू	ूर	री	ी_	__	
तर	रह	ह_	__	__	
से	े_	__	__	__	
बं	ंद	द_	__	__	
कर	रन	ने	े_	__	
के	े_	__	__	__	
ऑप	प्	्श	शन	न_	
मि	िल	ले	ें	ंग	
।_	__	__	__	__	
EO	OL	L_	__	__	

आप	प_	__	__	__	
यह	ही	ीं	ं_	__	
से	े_	__	__	__	
पु	ुर	रा	ान	ने	
लॉ	ॉग	गइ	इन	न_	
से	ेश	शं	ंस	स_	
को	ो_	__	__	__	
हम	मे	ेश	शा	ा_	
के	े_	__	__	__	
लि	िए	ए_	__	__	
हट	टा	ा_	__	__	
भी	ी_	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ऐस	से	े_	__	__	
मे	ें	ं_	__	__	
कई	ई_	__	__	__	
बा	ार	र_	__	__	
ऐस	सा	ा_	__	__	
हो	ोत	ता	ा_	__	
है	ै_	__	__	__	
कि	ि_	__	__	__	
आप	पक	का	ा_	__	
लॉ	ॉग	गइ	इन	न_	
ओप	पन	न_	__	__	
ही	ी_	__	__	__	
रह	ह_	__	__	__	
जा	ात	ता	ा_	__	
है	ै_	__	__	__	
और	र_	__	__	__	
को	ोई	ई_	__	__	
भी	ी_	__	__	__	
इस	सक	का	ा_	__	
दु	ुर	रु	ुप	पय	
कर	र_	__	__	__	
सक	कत	ता	ा_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

अब	ब_	__	__	__	
नए	ए_	__	__	__	
फी	ीच	चर	र_	__	
से	े_	__	__	__	
इस	स_	__	__	__	
तर	रह	ह_	__	__	
की	ी_	__	__	__	
गल	लत	ति	िय	या	
नह	ही	ीं	ं_	__	
हो	ों	ंग	गी	ी_	
और	र_	__	__	__	
अक	का	ाउ	उं	ंट	
को	ो_	__	__	__	
है	ैक	क_	__	__	
कर	रन	ना	ा_	__	
बे	ेह	हद	द_	__	
मु	ुश	श्	्क	कि	
हो	ो_	__	__	__	
जा	ाए	एग	गा	ा_	
