एपीएस-सी	0	8	ए	एप	एपी	ी	सी	-सी	0	ए	प	ी	ए	स	एप	पी	ीए	एस	स-	एपी	पीए	ीएस	एस-	स-स	एपीए	पीएस	ीएस-	एस-स	स-सी	एपीएस	पीएस-	ीएस-स	एस-सी	स-सी_	NULL	NULL	(23.7x15.7एमएम)	16	B_ASP
(23.7x15.7एमएम)	0	15	(	(2	(23	)	म)	एम)	0	(	2	3	.	7	(2	23	3.	.7	7x	(23	23.	3.7	.7x	7x1	(23.	23.7	3.7x	.7x1	7x15	(23.7	23.7x	3.7x1	.7x15	7x15.	NULL	एपीएस-सी	16	मेगा	0
16	0	2	1	16	NULL	6	16	NULL	0	1	6	_	_	_	16	6_	__	__	__	16_	6__	___	___	___	16__	6___	____	____	____	16___	6____	_____	_____	_____	एपीएस-सी	(23.7x15.7एमएम)	मेगा	पिक्सल	0
मेगा	0	4	म	मे	मेग	ा	गा	ेगा	0	म	े	ग	ा	_	मे	ेग	गा	ा_	__	मेग	ेगा	गा_	ा__	___	मेगा	ेगा_	गा__	ा___	____	मेगा_	ेगा__	गा___	ा____	_____	(23.7x15.7एमएम)	16	पिक्सल	सीएमओएस	0
पिक्सल	0	6	प	पि	पिक	ल	सल	्सल	0	प	ि	क	्	स	पि	िक	क्	्स	सल	पिक	िक्	क्स	्सल	सल_	पिक्	िक्स	क्सल	्सल_	सल__	पिक्स	िक्सल	क्सल_	्सल__	सल___	16	मेगा	सीएमओएस	(CMOS)	0
सीएमओएस	0	7	स	सी	सीए	स	एस	ओएस	0	स	ी	ए	म	ओ	सी	ीए	एम	मओ	ओए	सीए	ीएम	एमओ	मओए	ओएस	सीएम	ीएमओ	एमओए	मओएस	ओएस_	सीएमओ	ीएमओए	एमओएस	मओएस_	ओएस__	मेगा	पिक्सल	(CMOS)	सेंसर	B_ASP
(CMOS)	0	6	(	(C	(CM	)	S)	OS)	0	(	C	M	O	S	(C	CM	MO	OS	S)	(CM	CMO	MOS	OS)	S)_	(CMO	CMOS	MOS)	OS)_	S)__	(CMOS	CMOS)	MOS)_	OS)__	S)___	पिक्सल	सीएमओएस	सेंसर	100-51200	I_ASP
सेंसर	0	5	स	से	सें	र	सर	ंसर	1	स	े	ं	स	र	से	ें	ंस	सर	र_	सें	ेंस	ंसर	सर_	र__	सेंस	ेंसर	ंसर_	सर__	र___	सेंसर	ेंसर_	ंसर__	सर___	र____	सीएमओएस	(CMOS)	100-51200	का	I_ASP
100-51200	0	9	1	10	100	0	00	200	0	1	0	0	-	5	10	00	0-	-5	51	100	00-	0-5	-51	512	100-	00-5	0-51	-512	5120	100-5	00-51	0-512	-5120	51200	(CMOS)	सेंसर	का	आइएसओ	0
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	सेंसर	100-51200	आइएसओ	रेंज	0
आइएसओ	0	5	आ	आइ	आइए	ओ	सओ	एसओ	0	आ	इ	ए	स	ओ	आइ	इए	एस	सओ	ओ_	आइए	इएस	एसओ	सओ_	ओ__	आइएस	इएसओ	एसओ_	सओ__	ओ___	आइएसओ	इएसओ_	एसओ__	सओ___	ओ____	100-51200	का	रेंज	6	B_ASP
