स्पाइस	0	6	स	स्	स्प	स	इस	ाइस	0	स	्	प	ा	इ	स्	्प	पा	ाइ	इस	स्प	्पा	पाइ	ाइस	इस_	स्पा	्पाइ	पाइस	ाइस_	इस__	स्पाइ	्पाइस	पाइस_	ाइस__	इस___	NULL	NULL	स्टेलर	होराइजोन	0
स्टेलर	0	6	स	स्	स्ट	र	लर	ेलर	0	स	्	ट	े	ल	स्	्ट	टे	ेल	लर	स्ट	्टे	टेल	ेलर	लर_	स्टे	्टेल	टेलर	ेलर_	लर__	स्टेल	्टेलर	टेलर_	ेलर__	लर___	NULL	स्पाइस	होराइजोन	(Spice	0
होराइजोन	0	8	ह	हो	होर	न	ोन	जोन	0	ह	ो	र	ा	इ	हो	ोर	रा	ाइ	इज	होर	ोरा	राइ	ाइज	इजो	होरा	ोराइ	राइज	ाइजो	इजोन	होराइ	ोराइज	राइजो	ाइजोन	इजोन_	स्पाइस	स्टेलर	(Spice	Stellar	0
(Spice	0	6	(	(S	(Sp	e	ce	ice	0	(	S	p	i	c	(S	Sp	pi	ic	ce	(Sp	Spi	pic	ice	ce_	(Spi	Spic	pice	ice_	ce__	(Spic	Spice	pice_	ice__	ce___	स्टेलर	होराइजोन	Stellar	Horizon)	0
Stellar	0	7	S	St	Ste	r	ar	lar	0	S	t	e	l	l	St	te	el	ll	la	Ste	tel	ell	lla	lar	Stel	tell	ella	llar	lar_	Stell	tella	ellar	llar_	lar__	होराइजोन	(Spice	Horizon)	में	0
Horizon)	0	8	H	Ho	Hor	)	n)	on)	0	H	o	r	i	z	Ho	or	ri	iz	zo	Hor	ori	riz	izo	zon	Hori	oriz	rizo	izon	zon)	Horiz	orizo	rizon	izon)	zon)_	(Spice	Stellar	में	बहुत	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	Stellar	Horizon)	बहुत	अच्छी	0
बहुत	1	4	ब	बह	बहु	त	ुत	हुत	0	ब	ह	ु	त	_	बह	हु	ुत	त_	__	बहु	हुत	ुत_	त__	___	बहुत	हुत_	ुत__	त___	____	बहुत_	हुत__	ुत___	त____	_____	Horizon)	में	अच्छी	स्पेसिफिकेशन्स	0
अच्छी	0	5	अ	अच	अच्	ी	छी	्छी	0	अ	च	्	छ	ी	अच	च्	्छ	छी	ी_	अच्	च्छ	्छी	छी_	ी__	अच्छ	च्छी	्छी_	छी__	ी___	अच्छी	च्छी_	्छी__	छी___	ी____	में	बहुत	स्पेसिफिकेशन्स	हैं	0
स्पेसिफिकेशन्स	0	14	स	स्	स्प	स	्स	न्स	0	स	्	प	े	स	स्	्प	पे	ेस	सि	स्प	्पे	पेस	ेसि	सिफ	स्पे	्पेस	पेसि	ेसिफ	सिफि	स्पेस	्पेसि	पेसिफ	ेसिफि	सिफिक	बहुत	अच्छी	हैं	जैसे	B_ASP
हैं	1	3	ह	है	हैं	ं	ैं	हैं	0	ह	ै	ं	_	_	है	ैं	ं_	__	__	हैं	ैं_	ं__	___	___	हैं_	ैं__	ं___	____	____	हैं__	ैं___	ं____	_____	_____	अच्छी	स्पेसिफिकेशन्स	जैसे	5	0
